"관측소","관측일시","표층수온(℃)","표층 염분(psu)","표층 DO(mg/L)","표층수심(m)","중충수온(℃)","중충염분(psu)","중충DO(mg/L)","중층수심(m)","저층수온(℃)","저층 염분(psu)","저층 DO(mg/L)","저층수심(m)"
강릉(bgna3),"2020-10-01 00:00",19.3,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-01 00:30",19.3,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-01 01:00",19.3,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-01 01:30",19.3,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-01 02:00",19.3,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-01 02:30",19.3,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-01 03:00",19.3,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-01 03:30",19.3,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-01 04:00",19.3,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-01 04:30",19.3,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-01 05:00",19.3,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-01 05:30",19.3,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-01 06:00",19.3,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-01 06:30",19.3,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-01 07:00",19.3,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-01 07:30",19.3,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-01 08:00",19.3,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-01 08:30",19.4,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-01 09:00",19.3,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-01 09:30",19.3,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-01 10:00",19.5,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-01 10:30",19.5,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-01 11:00",19.5,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-01 11:30",19.5,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-01 12:00",19.4,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-01 12:30",19.5,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-01 13:00",19.6,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-01 13:30",19.6,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-01 14:00",19.7,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-01 14:30",19.7,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-01 15:00",19.7,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-01 15:30",19.6,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-01 16:00",19.7,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-01 16:30",19.7,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-01 17:00",19.8,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-01 17:30",19.8,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-01 18:00",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-01 18:30",19.7,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-01 19:00",19.7,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-01 19:30",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-01 20:00",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-01 20:30",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-01 21:00",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-01 21:30",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-01 22:00",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-01 22:30",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-01 23:00",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-01 23:30",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-02 00:00",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-02 00:30",19.7,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-02 01:00",19.7,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-02 01:30",19.7,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-02 02:00",19.7,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-02 02:30",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-02 03:00",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-02 03:30",19.6,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-02 04:00",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-02 04:30",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-02 05:00",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-02 05:30",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-02 06:00",19.6,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-02 06:30",19.7,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-02 07:00",19.7,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-02 07:30",19.5,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-02 08:00",19.6,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-02 08:30",19.6,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-02 09:00",19.6,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-02 09:30",19.7,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-02 10:00",19.6,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-02 10:30",19.7,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-02 11:00",19.7,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-02 11:30",19.7,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-02 12:00",19.7,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-02 12:30",19.7,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-02 13:00",19.7,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-02 13:30",19.8,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-02 14:00",19.8,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-02 14:30",19.8,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-02 15:00",19.9,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-02 15:30",19.9,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-02 16:00",19.9,,,5,19.8,,,20,,,,30
강릉(bgna3),"2020-10-02 16:30",20,,,5,19.8,,,20,,,,30
강릉(bgna3),"2020-10-02 17:00",20,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-02 17:30",19.9,,,5,19.7,,,20,,,,30
강릉(bgna3),"2020-10-02 18:00",19.7,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-02 18:30",19.7,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-02 19:00",19.7,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-02 19:30",19.5,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-02 20:00",19.5,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-02 20:30",19.6,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-02 21:00",19.7,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-02 21:30",19.7,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-02 22:00",19.7,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-02 22:30",19.7,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-02 23:00",19.7,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-02 23:30",19.7,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-03 00:00",19.7,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-03 00:30",19.7,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-03 01:00",19.7,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-03 01:30",19.7,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-03 02:00",19.7,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-03 02:30",19.6,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-03 03:00",19.6,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-03 03:30",19.6,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-03 04:00",19.6,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-03 04:30",19.6,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-03 05:00",19.6,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-03 05:30",19.6,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-03 06:00",19.6,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-03 06:30",19.6,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-03 07:00",19.6,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-03 07:30",19.6,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-03 08:00",19.6,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-03 08:30",19.7,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-03 09:00",19.5,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-03 09:30",19.6,,,5,19.1,,,20,,,,30
강릉(bgna3),"2020-10-03 10:00",19.4,,,5,19.1,,,20,,,,30
강릉(bgna3),"2020-10-03 10:30",19.4,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-03 11:00",19.4,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-03 11:30",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-03 12:00",19.4,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-03 12:30",19.5,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-03 13:00",19.6,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-03 13:30",19.5,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-03 14:00",19.6,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-03 14:30",19.6,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-03 15:00",19.8,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-03 15:30",19.7,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-03 16:00",19.8,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-03 16:30",19.9,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-03 17:00",19.8,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-03 17:30",19.6,,,5,19.6,,,20,,,,30
강릉(bgna3),"2020-10-03 18:00",19.6,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-03 18:30",19.5,,,5,19.5,,,20,,,,30
강릉(bgna3),"2020-10-03 19:00",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-03 19:30",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-03 20:00",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-03 20:30",19.4,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-03 21:00",19.4,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-03 21:30",19.4,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-03 22:00",19.3,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-03 22:30",19.4,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-03 23:00",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-03 23:30",19.4,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-04 00:00",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 00:30",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 01:00",19.4,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-04 01:30",19.4,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-04 02:00",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 02:30",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 03:00",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 03:30",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 04:00",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 04:30",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 05:00",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 05:30",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 06:00",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 06:30",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 07:00",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 07:30",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 08:00",19.4,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 08:30",19.4,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-04 09:00",19.4,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-04 09:30",19.4,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-04 10:00",19.4,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-04 10:30",19.5,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-04 11:00",19.5,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-04 11:30",19.5,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-04 12:00",19.5,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-04 12:30",19.5,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-04 13:00",19.5,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-04 13:30",19.5,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 14:00",19.5,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 14:30",19.5,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 15:00",19.6,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-04 15:30",19.6,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-04 16:00",19.6,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-04 16:30",19.6,,,5,19.3,,,20,,,,30
강릉(bgna3),"2020-10-04 17:00",19.6,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-04 17:30",19.5,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 18:00",19.5,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 18:30",19.5,,,5,19.4,,,20,,,,30
강릉(bgna3),"2020-10-04 19:00",19.5,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-04 19:30",19.5,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-04 20:00",19.5,,,5,19.1,,,20,,,,30
강릉(bgna3),"2020-10-04 20:30",19.5,,,5,19.1,,,20,,,,30
강릉(bgna3),"2020-10-04 21:00",19.5,,,5,19.1,,,20,,,,30
강릉(bgna3),"2020-10-04 21:30",19.4,,,5,19.1,,,20,,,,30
강릉(bgna3),"2020-10-04 22:00",19.4,,,5,19.1,,,20,,,,30
강릉(bgna3),"2020-10-04 22:30",19.3,,,5,19.1,,,20,,,,30
강릉(bgna3),"2020-10-04 23:00",19.3,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-04 23:30",19.2,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-05 00:00",19.2,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-05 00:30",19.3,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-05 01:00",19.2,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-05 01:30",19.2,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-05 02:00",19.2,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-05 02:30",19.1,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-05 03:00",19.2,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-05 03:30",19.2,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-05 04:00",19.2,,,5,19.2,,,20,,,,30
강릉(bgna3),"2020-10-05 04:30",19.1,,,5,19.1,,,20,,,,30
강릉(bgna3),"2020-10-05 05:00",19.1,,,5,19.1,,,20,,,,30
강릉(bgna3),"2020-10-05 05:30",19.1,,,5,19.1,,,20,,,,30
강릉(bgna3),"2020-10-05 06:00",19.1,,,5,19.1,,,20,,,,30
강릉(bgna3),"2020-10-05 06:30",19.1,,,5,19.1,,,20,,,,30
강릉(bgna3),"2020-10-05 07:00",19.1,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 07:30",19,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 08:00",19,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 08:30",19,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 09:00",19,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 09:30",19,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 10:00",19,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 10:30",19,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 11:00",19.1,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 11:30",19,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 12:00",19,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 12:30",19,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 13:00",19.1,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 13:30",19.1,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 14:00",19.1,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 14:30",19.1,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 15:00",19.1,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 15:30",19.1,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 16:00",19.1,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 16:30",19.1,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 17:00",19.1,,,5,18.9,,,20,,,,30
강릉(bgna3),"2020-10-05 17:30",19.1,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 18:00",19.1,,,5,19,,,20,,,,30
강릉(bgna3),"2020-10-05 18:30",19,,,5,18.9,,,20,,,,30
