"°üÃø¼Ò","°üÃøÀÏ½Ã","Ç¥Ãþ¼ö¿Â(¡É)","Ç¥Ãþ ¿°ºÐ(psu)","Ç¥Ãþ DO(mg/L)","Ç¥Ãþ¼ö½É(m)","ÁßÃþ¼ö¿Â(¡É)","ÃþÃþ ¿°ºÐ(psu)","ÃþÃþ DO(mg/L)","ÃþÃþ¼ö½É(m)","ÀúÃþ¼ö¿Â(¡É)","ÀúÃþ ¿°ºÐ(psu)","ÀúÃþ DO(mg/L)","ÀúÃþ¼ö½É(m)"
°­¸ª(bgna3),"2011-07-29 17:30",17.6,,,5,12.8,,,20,9.9,,,30
°­¸ª(bgna3),"2011-07-29 18:00",18.0,,,5,12.8,,,20,10.1,,,30
°­¸ª(bgna3),"2011-07-29 18:30",18.8,,,5,12.6,,,20,10.4,,,30
°­¸ª(bgna3),"2011-07-29 19:00",18.9,,,5,12.5,,,20,10.6,,,30
°­¸ª(bgna3),"2011-07-29 19:30",20.0,,,5,12.4,,,20,10.6,,,30
°­¸ª(bgna3),"2011-07-29 20:00",20.8,,,5,12.2,,,20,10.4,,,30
°­¸ª(bgna3),"2011-07-29 20:30",21.3,,,5,12.9,,,20,10.8,,,30
°­¸ª(bgna3),"2011-07-29 21:00",21.4,,,5,14.8,,,20,11.1,,,30
°­¸ª(bgna3),"2011-07-29 21:30",20.4,,,5,14.9,,,20,11.1,,,30
°­¸ª(bgna3),"2011-07-29 22:00",21.0,,,5,14.5,,,20,11.2,,,30
°­¸ª(bgna3),"2011-07-29 22:30",19.5,,,5,13.0,,,20,11.1,,,30
°­¸ª(bgna3),"2011-07-29 23:00",19.1,,,5,12.6,,,20,10.7,,,30
°­¸ª(bgna3),"2011-07-29 23:30",20.2,,,5,14.2,,,20,10.6,,,30
°­¸ª(bgna3),"2011-07-30 00:00",18.6,,,5,12.9,,,20,10.2,,,30
°­¸ª(bgna3),"2011-07-30 00:30",19.1,,,5,12.3,,,20,9.6,,,30
°­¸ª(bgna3),"2011-07-30 01:00",18.9,,,5,13.3,,,20,9.4,,,30
°­¸ª(bgna3),"2011-07-30 01:30",19.9,,,5,13.7,,,20,9.6,,,30
°­¸ª(bgna3),"2011-07-30 02:00",19.7,,,5,13.7,,,20,10.3,,,30
°­¸ª(bgna3),"2011-07-30 02:30",19.1,,,5,13.6,,,20,10.4,,,30
