"관측소","관측일시","표층수온(℃)","표층 염분(psu)","표층 DO(mg/L)","표층수심(m)","중충수온(℃)","중충염분(psu)","중충DO(mg/L)","중층수심(m)","저층수온(℃)","저층 염분(psu)","저층 DO(mg/L)","저층수심(m)"
강릉(bgna3),"2015-12-01 00:00",12.4,,,5,12.5,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 00:30",12.4,,,5,12.6,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 01:00",12.4,,,5,12.6,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 01:30",12.4,,,5,12.5,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 02:00",12.5,,,5,12.5,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 02:30",12.5,,,5,12.5,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 03:00",12.4,,,5,12.5,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 03:30",12.5,,,5,12.5,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 04:00",12.4,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-01 04:30",12.4,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-01 05:00",12.3,,,5,12.5,,,20,12.3,,,30
강릉(bgna3),"2015-12-01 05:30",12.5,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-01 06:00",12.3,,,5,12.5,,,20,12.3,,,30
강릉(bgna3),"2015-12-01 06:30",12.3,,,5,12.5,,,20,12.3,,,30
강릉(bgna3),"2015-12-01 07:00",12.3,,,5,12.5,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 07:30",12.1,,,5,12.5,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 08:00",12.3,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 08:30",12.3,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 09:00",12.2,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-01 09:30",12.2,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-01 10:00",12.3,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-01 10:30",12.4,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 11:00",12.4,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-01 11:30",12.5,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 12:00",12.5,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 12:30",12.5,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 13:00",12.6,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 13:30",12.5,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 14:00",12.6,,,5,12.5,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 14:30",12.6,,,5,12.5,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 15:00",12.6,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 15:30",12.4,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 16:00",12.4,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 16:30",12.6,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 17:00",12.5,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 17:30",12.5,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 18:00",12.4,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 18:30",12.4,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 19:00",12.4,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 19:30",12.4,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 20:00",12.4,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-01 20:30",12.4,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-01 21:00",12.4,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 21:30",12.4,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 22:00",12.4,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 22:30",12.4,,,5,12.4,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 23:00",12.4,,,5,12.3,,,20,12.4,,,30
강릉(bgna3),"2015-12-01 23:30",12.4,,,5,12.3,,,20,12.4,,,30
강릉(bgna3),"2015-12-02 00:00",12.4,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 00:30",12.4,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 01:00",12.4,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 01:30",12.5,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 02:00",12.4,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 02:30",12.4,,,5,12.3,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 03:00",12.3,,,5,12.3,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 03:30",12.3,,,5,12.3,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 04:00",12.3,,,5,12.3,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 04:30",12.3,,,5,12.3,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 05:00",12.2,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 05:30",12.3,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 06:00",12.3,,,5,12.3,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 06:30",12.4,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 07:00",12.4,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 07:30",12.4,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 08:00",12.3,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 08:30",12.2,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 09:00",12.3,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 09:30",12.4,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 10:00",12.3,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 10:30",12.3,,,5,12.4,,,20,12.3,,,30
강릉(bgna3),"2015-12-02 11:00",12.3,,,5,12.4,,,20,12.3,,,30
