"관측소","관측일시","표층수온(℃)","표층 염분(psu)","표층 DO(mg/L)","표층수심(m)","중충수온(℃)","중충염분(psu)","중충DO(mg/L)","중층수심(m)","저층수온(℃)","저층 염분(psu)","저층 DO(mg/L)","저층수심(m)"
강릉(bgna3),"2016-04-01 00:00",8.1,,,5,5.5,,,20,3.8,,,30
강릉(bgna3),"2016-04-01 00:30",7.9,,,5,5.4,,,20,3.8,,,30
강릉(bgna3),"2016-04-01 01:00",7.9,,,5,5.4,,,20,3.8,,,30
강릉(bgna3),"2016-04-01 01:30",7.9,,,5,5.4,,,20,3.8,,,30
강릉(bgna3),"2016-04-01 02:00",8,,,5,5.4,,,20,3.8,,,30
강릉(bgna3),"2016-04-01 02:30",8.2,,,5,5.6,,,20,4,,,30
강릉(bgna3),"2016-04-01 03:00",8.1,,,5,5.8,,,20,4.1,,,30
강릉(bgna3),"2016-04-01 03:30",8.3,,,5,5.6,,,20,4,,,30
강릉(bgna3),"2016-04-01 04:00",8.3,,,5,5.3,,,20,4,,,30
강릉(bgna3),"2016-04-01 04:30",7.8,,,5,5.1,,,20,4,,,30
강릉(bgna3),"2016-04-01 05:00",7.1,,,5,4.7,,,20,4.1,,,30
강릉(bgna3),"2016-04-01 05:30",8.1,,,5,6.4,,,20,4.1,,,30
강릉(bgna3),"2016-04-01 06:00",7.8,,,5,5.5,,,20,4.1,,,30
강릉(bgna3),"2016-04-01 06:30",7.6,,,5,5.3,,,20,4.1,,,30
강릉(bgna3),"2016-04-01 07:00",7.8,,,5,5.2,,,20,4,,,30
강릉(bgna3),"2016-04-01 07:30",7.9,,,5,5.1,,,20,3.9,,,30
강릉(bgna3),"2016-04-01 08:00",7.5,,,5,5,,,20,3.9,,,30
강릉(bgna3),"2016-04-01 08:30",7.3,,,5,5.1,,,20,3.8,,,30
강릉(bgna3),"2016-04-01 09:00",7.8,,,5,5.1,,,20,3.8,,,30
강릉(bgna3),"2016-04-01 09:30",7.8,,,5,5.2,,,20,3.8,,,30
강릉(bgna3),"2016-04-01 10:00",7.6,,,5,5.3,,,20,3.9,,,30
강릉(bgna3),"2016-04-01 10:30",7.6,,,5,5.3,,,20,3.9,,,30
강릉(bgna3),"2016-04-01 11:00",8.8,,,5,5.6,,,20,4.1,,,30
강릉(bgna3),"2016-04-01 11:30",9.1,,,5,5.8,,,20,4.2,,,30
강릉(bgna3),"2016-04-01 12:00",9.3,,,5,5.7,,,20,4.3,,,30
강릉(bgna3),"2016-04-01 12:30",9.3,,,5,5.8,,,20,4.3,,,30
강릉(bgna3),"2016-04-01 13:00",9.6,,,5,6.2,,,20,4.4,,,30
강릉(bgna3),"2016-04-01 13:30",9.8,,,5,6.3,,,20,4.5,,,30
강릉(bgna3),"2016-04-01 14:00",9.8,,,5,6.2,,,20,4.6,,,30
강릉(bgna3),"2016-04-01 14:30",9.5,,,5,5.9,,,20,4.6,,,30
강릉(bgna3),"2016-04-01 15:00",9.4,,,5,5.8,,,20,4.6,,,30
강릉(bgna3),"2016-04-01 15:30",8.2,,,5,5.8,,,20,4.6,,,30
강릉(bgna3),"2016-04-01 16:00",7.6,,,5,5.6,,,20,4.5,,,30
강릉(bgna3),"2016-04-01 16:30",7.3,,,5,5.4,,,20,4.5,,,30
