"°üÃø¼Ò","°üÃøÀÏ½Ã","Ç¥Ãþ¼ö¿Â(¡É)","Ç¥Ãþ ¿°ºÐ(psu)","Ç¥Ãþ DO(mg/L)","Ç¥Ãþ¼ö½É(m)","ÁßÃæ¼ö¿Â(¡É)","ÁßÃæ¿°ºÐ(psu)","ÁßÃæDO(mg/L)","ÁßÃþ¼ö½É(m)","ÀúÃþ¼ö¿Â(¡É)","ÀúÃþ ¿°ºÐ(psu)","ÀúÃþ DO(mg/L)","ÀúÃþ¼ö½É(m)"
°­¸ª(bgna3),"2014-05-01 00:00",13.5,,,5,13.2,,,20,10.3,,,30
°­¸ª(bgna3),"2014-05-01 00:30",13.6,,,5,13.1,,,20,11.1,,,30
°­¸ª(bgna3),"2014-05-01 01:00",13.6,,,5,13.2,,,20,11.4,,,30
°­¸ª(bgna3),"2014-05-01 01:30",13.6,,,5,13.1,,,20,11.6,,,30
°­¸ª(bgna3),"2014-05-01 02:00",13.6,,,5,13.3,,,20,11.4,,,30
°­¸ª(bgna3),"2014-05-01 02:30",13.6,,,5,13.3,,,20,11.6,,,30
°­¸ª(bgna3),"2014-05-01 03:00",13.7,,,5,13.4,,,20,11.8,,,30
°­¸ª(bgna3),"2014-05-01 03:30",13.7,,,5,13.5,,,20,11.8,,,30
°­¸ª(bgna3),"2014-05-01 04:00",13.7,,,5,13.6,,,20,11.9,,,30
°­¸ª(bgna3),"2014-05-01 04:30",13.7,,,5,13.7,,,20,10.3,,,30
°­¸ª(bgna3),"2014-05-01 05:00",13.8,,,5,13.6,,,20,8.3,,,30
°­¸ª(bgna3),"2014-05-01 05:30",13.8,,,5,13.6,,,20,8.1,,,30
°­¸ª(bgna3),"2014-05-01 06:00",13.8,,,5,13.6,,,20,8.3,,,30
°­¸ª(bgna3),"2014-05-01 06:30",13.7,,,5,13.3,,,20,8.9,,,30
°­¸ª(bgna3),"2014-05-01 07:00",13.8,,,5,13.4,,,20,9.3,,,30
°­¸ª(bgna3),"2014-05-01 07:30",13.9,,,5,13.4,,,20,9.3,,,30
°­¸ª(bgna3),"2014-05-01 08:00",13.9,,,5,13.5,,,20,9.4,,,30
°­¸ª(bgna3),"2014-05-01 08:30",13.9,,,5,13.4,,,20,9.7,,,30
°­¸ª(bgna3),"2014-05-01 09:00",14,,,5,12.9,,,20,10,,,30
°­¸ª(bgna3),"2014-05-01 09:30",14.1,,,5,13.3,,,20,9.9,,,30
°­¸ª(bgna3),"2014-05-01 10:00",14.1,,,5,13.4,,,20,9.6,,,30
°­¸ª(bgna3),"2014-05-01 10:30",14.1,,,5,13.4,,,20,9.4,,,30
°­¸ª(bgna3),"2014-05-01 11:00",14.1,,,5,13.6,,,20,8.2,,,30
°­¸ª(bgna3),"2014-05-01 11:30",14.1,,,5,13.3,,,20,7.7,,,30
°­¸ª(bgna3),"2014-05-01 12:00",14.2,,,5,12.3,,,20,7.1,,,30
°­¸ª(bgna3),"2014-05-01 12:30",14.2,,,5,12.6,,,20,6.4,,,30
°­¸ª(bgna3),"2014-05-01 13:00",14.2,,,5,13,,,20,6.1,,,30
°­¸ª(bgna3),"2014-05-01 13:30",14.2,,,5,13.6,,,20,6.4,,,30
°­¸ª(bgna3),"2014-05-01 14:00",14.2,,,5,11.8,,,20,6.8,,,30
°­¸ª(bgna3),"2014-05-01 14:30",14.1,,,5,10.6,,,20,7.1,,,30
°­¸ª(bgna3),"2014-05-01 15:00",14.2,,,5,12.9,,,20,7.3,,,30
°­¸ª(bgna3),"2014-05-01 15:30",14.1,,,5,11.1,,,20,7.3,,,30
°­¸ª(bgna3),"2014-05-01 16:00",14.1,,,5,11.7,,,20,7.6,,,30
°­¸ª(bgna3),"2014-05-01 16:30",14.1,,,5,13,,,20,7.8,,,30
°­¸ª(bgna3),"2014-05-01 17:00",14,,,5,11.6,,,20,7.9,,,30
°­¸ª(bgna3),"2014-05-01 17:30",13.9,,,5,12.1,,,20,8.4,,,30
°­¸ª(bgna3),"2014-05-01 18:00",13.9,,,5,12.3,,,20,7.5,,,30
°­¸ª(bgna3),"2014-05-01 18:30",13.9,,,5,12.3,,,20,7.6,,,30
°­¸ª(bgna3),"2014-05-01 19:00",13.8,,,5,12.3,,,20,7.6,,,30
°­¸ª(bgna3),"2014-05-01 19:30",13.8,,,5,11.5,,,20,7.4,,,30
°­¸ª(bgna3),"2014-05-01 20:00",13.8,,,5,11.9,,,20,7.4,,,30
°­¸ª(bgna3),"2014-05-01 20:30",13.8,,,5,10.8,,,20,7.6,,,30
°­¸ª(bgna3),"2014-05-01 21:00",13.8,,,5,10.6,,,20,7.8,,,30
°­¸ª(bgna3),"2014-05-01 21:30",13.8,,,5,10.5,,,20,7.8,,,30
°­¸ª(bgna3),"2014-05-01 22:00",13.8,,,5,11.2,,,20,7.9,,,30
°­¸ª(bgna3),"2014-05-01 22:30",13.8,,,5,10.9,,,20,8,,,30
°­¸ª(bgna3),"2014-05-01 23:00",13.8,,,5,10.7,,,20,8.1,,,30
°­¸ª(bgna3),"2014-05-01 23:30",13.8,,,5,10.6,,,20,8.1,,,30
°­¸ª(bgna3),"2014-05-02 00:00",13.8,,,5,10.5,,,20,7.9,,,30
°­¸ª(bgna3),"2014-05-02 00:30",13.8,,,5,9.8,,,20,7.7,,,30
°­¸ª(bgna3),"2014-05-02 01:00",13.8,,,5,9.2,,,20,7.4,,,30
°­¸ª(bgna3),"2014-05-02 01:30",13.8,,,5,9.1,,,20,6.9,,,30
°­¸ª(bgna3),"2014-05-02 02:00",13.8,,,5,8.6,,,20,6.4,,,30
°­¸ª(bgna3),"2014-05-02 02:30",13.8,,,5,8.4,,,20,6.1,,,30
°­¸ª(bgna3),"2014-05-02 03:00",13.8,,,5,9.1,,,20,6.1,,,30
°­¸ª(bgna3),"2014-05-02 03:30",13.8,,,5,8.6,,,20,6.2,,,30
°­¸ª(bgna3),"2014-05-02 04:00",13.8,,,5,9,,,20,6.3,,,30
°­¸ª(bgna3),"2014-05-02 04:30",13.8,,,5,9.6,,,20,6.4,,,30
