"°üÃø¼Ò","°üÃøÀÏ½Ã","Ç¥Ãþ¼ö¿Â(¡É)","Ç¥Ãþ ¿°ºÐ(psu)","Ç¥Ãþ DO(mg/L)","Ç¥Ãþ¼ö½É(m)","ÁßÃæ¼ö¿Â(¡É)","ÁßÃæ¿°ºÐ(psu)","ÁßÃæDO(mg/L)","ÁßÃþ¼ö½É(m)","ÀúÃþ¼ö¿Â(¡É)","ÀúÃþ ¿°ºÐ(psu)","ÀúÃþ DO(mg/L)","ÀúÃþ¼ö½É(m)"
°­¸ª(bgna3),"2018-07-01 00:00",20.6,,,5,8.4,,,20,5.8,,,30
°­¸ª(bgna3),"2018-07-01 00:30",20.8,,,5,8.5,,,20,6.3,,,30
°­¸ª(bgna3),"2018-07-01 01:00",20.8,,,5,8.8,,,20,6.5,,,30
°­¸ª(bgna3),"2018-07-01 01:30",21,,,5,9.4,,,20,7.2,,,30
°­¸ª(bgna3),"2018-07-01 02:00",21,,,5,11,,,20,7.5,,,30
°­¸ª(bgna3),"2018-07-01 02:30",20.8,,,5,11.4,,,20,7.9,,,30
°­¸ª(bgna3),"2018-07-01 03:00",21.2,,,5,11.9,,,20,8.6,,,30
°­¸ª(bgna3),"2018-07-01 03:30",21.4,,,5,12.9,,,20,9.9,,,30
°­¸ª(bgna3),"2018-07-01 04:00",21.2,,,5,15,,,20,9,,,30
°­¸ª(bgna3),"2018-07-01 04:30",21.3,,,5,16.5,,,20,10.5,,,30
°­¸ª(bgna3),"2018-07-01 05:00",21.4,,,5,15.4,,,20,9.1,,,30
°­¸ª(bgna3),"2018-07-01 05:30",21.4,,,5,15.8,,,20,8.3,,,30
°­¸ª(bgna3),"2018-07-01 06:00",21.2,,,5,13,,,20,8.2,,,30
°­¸ª(bgna3),"2018-07-01 06:30",21.3,,,5,12.8,,,20,6.5,,,30
°­¸ª(bgna3),"2018-07-01 07:00",20.9,,,5,11.9,,,20,5.8,,,30
°­¸ª(bgna3),"2018-07-01 07:30",21.1,,,5,11.1,,,20,5.7,,,30
°­¸ª(bgna3),"2018-07-01 08:00",21.1,,,5,10.6,,,20,5.8,,,30
°­¸ª(bgna3),"2018-07-01 08:30",21.1,,,5,9.5,,,20,5.7,,,30
°­¸ª(bgna3),"2018-07-01 09:00",21.2,,,5,9.9,,,20,6,,,30
°­¸ª(bgna3),"2018-07-01 09:30",21.4,,,5,11.5,,,20,6.5,,,30
°­¸ª(bgna3),"2018-07-01 10:00",21.4,,,5,10.4,,,20,7.2,,,30
°­¸ª(bgna3),"2018-07-01 10:30",21.4,,,5,11.2,,,20,7.9,,,30
°­¸ª(bgna3),"2018-07-01 11:00",21.4,,,5,11.3,,,20,8.2,,,30
°­¸ª(bgna3),"2018-07-01 11:30",21.3,,,5,11.8,,,20,8.2,,,30
°­¸ª(bgna3),"2018-07-01 12:00",21.4,,,5,14.3,,,20,8.4,,,30
°­¸ª(bgna3),"2018-07-01 12:30",21.4,,,5,17,,,20,8.1,,,30
°­¸ª(bgna3),"2018-07-01 13:00",21.3,,,5,16.3,,,20,7.8,,,30
°­¸ª(bgna3),"2018-07-01 13:30",21.3,,,5,16.1,,,20,7.5,,,30
°­¸ª(bgna3),"2018-07-01 14:00",21.2,,,5,17.6,,,20,8.2,,,30
°­¸ª(bgna3),"2018-07-01 14:30",21.2,,,5,17.2,,,20,8.9,,,30
°­¸ª(bgna3),"2018-07-01 15:00",21.1,,,5,16.6,,,20,9.4,,,30
°­¸ª(bgna3),"2018-07-01 15:30",21,,,5,15.9,,,20,8.9,,,30
°­¸ª(bgna3),"2018-07-01 16:00",21.1,,,5,16,,,20,8.7,,,30
°­¸ª(bgna3),"2018-07-01 16:30",21.1,,,5,14.4,,,20,8.6,,,30
°­¸ª(bgna3),"2018-07-01 17:00",21,,,5,13.7,,,20,8.6,,,30
°­¸ª(bgna3),"2018-07-01 17:30",20.9,,,5,12.6,,,20,8.1,,,30
