"관측소","관측일시","표층수온(℃)","표층 염분(psu)","표층 DO(mg/L)","표층수심(m)","중충수온(℃)","중충염분(psu)","중충DO(mg/L)","중층수심(m)","저층수온(℃)","저층 염분(psu)","저층 DO(mg/L)","저층수심(m)"
강릉(bgna3),"2018-05-15 10:30",12.5,,,5,7.4,,,20,6.3,,,30
강릉(bgna3),"2018-05-15 11:00",13.1,,,5,7.5,,,20,6.4,,,30
강릉(bgna3),"2018-05-15 11:30",13.9,,,5,8.9,,,20,6.7,,,30
강릉(bgna3),"2018-05-15 12:00",14.2,,,5,8.9,,,20,7.2,,,30
강릉(bgna3),"2018-05-15 12:30",14.3,,,5,8.9,,,20,7.2,,,30
강릉(bgna3),"2018-05-15 13:00",13.5,,,5,9.4,,,20,7.6,,,30
강릉(bgna3),"2018-05-15 13:30",13.5,,,5,9.6,,,20,7.5,,,30
강릉(bgna3),"2018-05-15 14:00",13.6,,,5,10,,,20,8.3,,,30
강릉(bgna3),"2018-05-15 14:30",13.6,,,5,9.5,,,20,7.7,,,30
강릉(bgna3),"2018-05-15 15:00",13.4,,,5,8.8,,,20,7.1,,,30
강릉(bgna3),"2018-05-15 16:00",13.5,,,5,8.5,,,20,6.5,,,30
강릉(bgna3),"2018-05-15 16:30",12.5,,,5,8,,,20,5.9,,,30
강릉(bgna3),"2018-05-15 17:30",13.9,,,5,7.9,,,20,5.8,,,30
강릉(bgna3),"2018-05-15 18:30",14,,,5,7.4,,,20,5.5,,,30
강릉(bgna3),"2018-05-15 19:00",13.9,,,5,8.4,,,20,5.8,,,30
강릉(bgna3),"2018-05-15 19:30",13.8,,,5,8.1,,,20,5.9,,,30
강릉(bgna3),"2018-05-15 20:00",14,,,5,8.3,,,20,6.2,,,30
강릉(bgna3),"2018-05-15 20:30",13.9,,,5,8.2,,,20,6.5,,,30
강릉(bgna3),"2018-05-15 21:00",14,,,5,8.2,,,20,6.8,,,30
강릉(bgna3),"2018-05-15 21:30",12.4,,,5,8.3,,,20,6.7,,,30
강릉(bgna3),"2018-05-15 22:00",13.1,,,5,8.3,,,20,6.6,,,30
강릉(bgna3),"2018-05-15 22:30",12.2,,,5,8.2,,,20,6.5,,,30
강릉(bgna3),"2018-05-15 23:00",11.7,,,5,8,,,20,6.4,,,30
