"°üÃø¼Ò","°üÃøÀÏ½Ã","Ç¥Ãþ¼ö¿Â(¡É)","Ç¥Ãþ ¿°ºÐ(psu)","Ç¥Ãþ DO(mg/L)","Ç¥Ãþ¼ö½É(m)","ÁßÃæ¼ö¿Â(¡É)","ÁßÃæ¿°ºÐ(psu)","ÁßÃæDO(mg/L)","ÁßÃþ¼ö½É(m)","ÀúÃþ¼ö¿Â(¡É)","ÀúÃþ ¿°ºÐ(psu)","ÀúÃþ DO(mg/L)","ÀúÃþ¼ö½É(m)"
°­¸ª(bgna3),"2018-06-01 00:00",17.7,,,5,12.6,,,20,6.2,,,30
°­¸ª(bgna3),"2018-06-01 00:30",17.5,,,5,12.8,,,20,7.4,,,30
°­¸ª(bgna3),"2018-06-01 01:00",17,,,5,13,,,20,9,,,30
°­¸ª(bgna3),"2018-06-01 01:30",17.3,,,5,12.6,,,20,9.3,,,30
°­¸ª(bgna3),"2018-06-01 02:00",17.2,,,5,12,,,20,9.9,,,30
°­¸ª(bgna3),"2018-06-01 02:30",17.1,,,5,11.2,,,20,9.3,,,30
°­¸ª(bgna3),"2018-06-01 03:00",16.9,,,5,9.7,,,20,8.1,,,30
°­¸ª(bgna3),"2018-06-01 03:30",16.8,,,5,8.9,,,20,7,,,30
°­¸ª(bgna3),"2018-06-01 04:00",16.9,,,5,8.1,,,20,6.1,,,30
°­¸ª(bgna3),"2018-06-01 04:30",16.9,,,5,9,,,20,6.4,,,30
°­¸ª(bgna3),"2018-06-01 05:00",16.6,,,5,9.1,,,20,5.4,,,30
°­¸ª(bgna3),"2018-06-01 05:30",16.7,,,5,8.7,,,20,4.9,,,30
°­¸ª(bgna3),"2018-06-01 06:00",16.7,,,5,7.1,,,20,4.8,,,30
°­¸ª(bgna3),"2018-06-01 06:30",16.5,,,5,6.6,,,20,4.8,,,30
°­¸ª(bgna3),"2018-06-01 07:00",16.7,,,5,6.8,,,20,4.8,,,30
°­¸ª(bgna3),"2018-06-01 07:30",16.5,,,5,6.6,,,20,4.7,,,30
°­¸ª(bgna3),"2018-06-01 08:00",16.7,,,5,6.6,,,20,4.7,,,30
°­¸ª(bgna3),"2018-06-01 08:30",16.8,,,5,8.7,,,20,4.7,,,30
°­¸ª(bgna3),"2018-06-01 09:00",17.1,,,5,9.4,,,20,5.4,,,30
°­¸ª(bgna3),"2018-06-01 09:30",17.2,,,5,9.5,,,20,5.4,,,30
°­¸ª(bgna3),"2018-06-01 10:00",17.3,,,5,10.3,,,20,5.5,,,30
°­¸ª(bgna3),"2018-06-01 10:30",17.2,,,5,9.7,,,20,6,,,30
°­¸ª(bgna3),"2018-06-01 11:00",17.1,,,5,9.6,,,20,5.8,,,30
°­¸ª(bgna3),"2018-06-01 11:30",17.3,,,5,9.6,,,20,5.5,,,30
°­¸ª(bgna3),"2018-06-01 12:00",16.8,,,5,9.9,,,20,5.8,,,30
°­¸ª(bgna3),"2018-06-01 12:30",17.3,,,5,11.5,,,20,6,,,30
°­¸ª(bgna3),"2018-06-01 13:00",17.3,,,5,11.4,,,20,6.2,,,30
°­¸ª(bgna3),"2018-06-01 13:30",16.8,,,5,9.9,,,20,5.6,,,30
°­¸ª(bgna3),"2018-06-01 14:00",16.9,,,5,9.5,,,20,5.7,,,30
°­¸ª(bgna3),"2018-06-01 14:30",16.9,,,5,9.5,,,20,5.5,,,30
°­¸ª(bgna3),"2018-06-01 15:00",16.9,,,5,9.7,,,20,5.2,,,30
°­¸ª(bgna3),"2018-06-01 15:30",16.9,,,5,9.4,,,20,5.5,,,30
°­¸ª(bgna3),"2018-06-01 16:00",17,,,5,8.8,,,20,5.5,,,30
°­¸ª(bgna3),"2018-06-01 16:30",16.9,,,5,8.2,,,20,5.4,,,30
°­¸ª(bgna3),"2018-06-01 17:00",17,,,5,8.1,,,20,5.4,,,30
°­¸ª(bgna3),"2018-06-01 17:30",16.9,,,5,8,,,20,5.5,,,30
°­¸ª(bgna3),"2018-06-01 18:00",16.9,,,5,8.4,,,20,5.8,,,30
°­¸ª(bgna3),"2018-06-01 18:30",16.8,,,5,8,,,20,6.1,,,30
°­¸ª(bgna3),"2018-06-01 19:00",16.8,,,5,9.2,,,20,6.2,,,30
°­¸ª(bgna3),"2018-06-01 19:30",17,,,5,9.5,,,20,6.3,,,30
°­¸ª(bgna3),"2018-06-01 20:00",17,,,5,9.9,,,20,6.4,,,30
°­¸ª(bgna3),"2018-06-01 20:30",17,,,5,10.1,,,20,6.4,,,30
°­¸ª(bgna3),"2018-06-01 21:00",17,,,5,10,,,20,6.3,,,30
°­¸ª(bgna3),"2018-06-01 21:30",16.8,,,5,9.9,,,20,6.2,,,30
°­¸ª(bgna3),"2018-06-01 22:00",17.1,,,5,11.4,,,20,7,,,30
°­¸ª(bgna3),"2018-06-01 22:30",17,,,5,10.9,,,20,7.6,,,30
°­¸ª(bgna3),"2018-06-01 23:00",17,,,5,10.8,,,20,8.9,,,30
°­¸ª(bgna3),"2018-06-01 23:30",16.9,,,5,10.1,,,20,6.4,,,30
°­¸ª(bgna3),"2018-06-02 00:00",16.8,,,5,9.6,,,20,5.7,,,30
°­¸ª(bgna3),"2018-06-02 00:30",16.8,,,5,9.3,,,20,4.8,,,30
°­¸ª(bgna3),"2018-06-02 01:00",16.6,,,5,8.5,,,20,4.6,,,30
°­¸ª(bgna3),"2018-06-02 01:30",16.6,,,5,8,,,20,4.5,,,30
°­¸ª(bgna3),"2018-06-02 02:00",16.7,,,5,7.5,,,20,4.5,,,30
°­¸ª(bgna3),"2018-06-02 02:30",16.5,,,5,7.3,,,20,4.5,,,30
°­¸ª(bgna3),"2018-06-02 03:00",16.4,,,5,7.4,,,20,4.7,,,30
°­¸ª(bgna3),"2018-06-02 03:30",16.4,,,5,8.7,,,20,5.2,,,30
°­¸ª(bgna3),"2018-06-02 04:00",16.4,,,5,8.8,,,20,5.3,,,30
°­¸ª(bgna3),"2018-06-02 04:30",16.5,,,5,9.6,,,20,5.6,,,30
°­¸ª(bgna3),"2018-06-02 05:00",16.4,,,5,9.3,,,20,5.5,,,30
°­¸ª(bgna3),"2018-06-02 05:30",16.6,,,5,8.4,,,20,5.1,,,30
°­¸ª(bgna3),"2018-06-02 06:00",16.9,,,5,8.1,,,20,5.2,,,30
°­¸ª(bgna3),"2018-06-02 06:30",16.9,,,5,8.3,,,20,5,,,30
°­¸ª(bgna3),"2018-06-02 07:00",16.9,,,5,7,,,20,4.8,,,30
°­¸ª(bgna3),"2018-06-02 07:30",16.9,,,5,5.8,,,20,4.4,,,30
°­¸ª(bgna3),"2018-06-02 08:00",17.5,,,5,9.7,,,20,4.8,,,30
°­¸ª(bgna3),"2018-06-02 08:30",17,,,5,10,,,20,5.7,,,30
°­¸ª(bgna3),"2018-06-02 09:00",17,,,5,9.6,,,20,5.3,,,30
°­¸ª(bgna3),"2018-06-02 09:30",16.9,,,5,9.1,,,20,5.2,,,30
°­¸ª(bgna3),"2018-06-02 10:00",16.9,,,5,8,,,20,4.9,,,30
°­¸ª(bgna3),"2018-06-02 10:30",17.1,,,5,7.6,,,20,4.8,,,30
°­¸ª(bgna3),"2018-06-02 11:00",17.4,,,5,7.4,,,20,4.8,,,30
°­¸ª(bgna3),"2018-06-02 11:30",18.1,,,5,11,,,20,5.7,,,30
°­¸ª(bgna3),"2018-06-02 12:00",17.7,,,5,11.3,,,20,6.4,,,30
°­¸ª(bgna3),"2018-06-02 12:30",17.3,,,5,13,,,20,6.7,,,30
°­¸ª(bgna3),"2018-06-02 13:00",17.3,,,5,14,,,20,7.9,,,30
°­¸ª(bgna3),"2018-06-02 14:30",17.3,,,5,11.8,,,20,9.9,,,30
°­¸ª(bgna3),"2018-06-02 15:00",17.2,,,5,12,,,20,10,,,30
°­¸ª(bgna3),"2018-06-02 15:30",17.2,,,5,11.5,,,20,6.2,,,30
°­¸ª(bgna3),"2018-06-02 16:00",16.9,,,5,11.6,,,20,6,,,30
°­¸ª(bgna3),"2018-06-02 16:30",16.8,,,5,10.2,,,20,5.4,,,30
°­¸ª(bgna3),"2018-06-02 17:00",16.8,,,5,7.8,,,20,4.7,,,30
°­¸ª(bgna3),"2018-06-02 17:30",16.7,,,5,6.8,,,20,4.8,,,30
°­¸ª(bgna3),"2018-06-02 18:00",16.6,,,5,6.7,,,20,4.7,,,30
°­¸ª(bgna3),"2018-06-02 18:30",16.5,,,5,6.1,,,20,4.7,,,30
°­¸ª(bgna3),"2018-06-02 19:00",16.6,,,5,5.8,,,20,4.6,,,30
°­¸ª(bgna3),"2018-06-02 19:30",16.6,,,5,5.7,,,20,4.6,,,30
°­¸ª(bgna3),"2018-06-02 20:00",16.9,,,5,5.6,,,20,4.7,,,30
°­¸ª(bgna3),"2018-06-02 20:30",16.1,,,5,6.7,,,20,4.8,,,30
°­¸ª(bgna3),"2018-06-02 21:00",16.8,,,5,7.2,,,20,4.8,,,30
°­¸ª(bgna3),"2018-06-02 21:30",16.6,,,5,6.7,,,20,4.8,,,30
