"관측소","관측일시","표층수온(℃)","표층 염분(psu)","표층 DO(mg/L)","표층수심(m)","중충수온(℃)","중충염분(psu)","중충DO(mg/L)","중층수심(m)","저층수온(℃)","저층 염분(psu)","저층 DO(mg/L)","저층수심(m)"
강릉(bgna3),"2018-03-14 15:30",8.6,,,5,8,,,20,7.2,,,30
강릉(bgna3),"2018-03-14 16:00",8.7,,,5,7.5,,,20,7,,,30
강릉(bgna3),"2018-03-14 16:30",8.6,,,5,7.9,,,20,7.2,,,30
강릉(bgna3),"2018-03-14 17:00",8.6,,,5,7.5,,,20,7,,,30
강릉(bgna3),"2018-03-14 17:30",8.6,,,5,7.7,,,20,7,,,30
강릉(bgna3),"2018-03-14 18:00",8.6,,,5,7.5,,,20,6.3,,,30
강릉(bgna3),"2018-03-14 18:30",8.5,,,5,7.9,,,20,6.9,,,30
강릉(bgna3),"2018-03-14 19:00",8.5,,,5,8.1,,,20,7.4,,,30
강릉(bgna3),"2018-03-14 19:30",8.5,,,5,7.9,,,20,7.1,,,30
강릉(bgna3),"2018-03-14 20:00",8.6,,,5,8.1,,,20,7.2,,,30
강릉(bgna3),"2018-03-14 20:30",8.5,,,5,7.9,,,20,6.7,,,30
강릉(bgna3),"2018-03-14 21:00",8.5,,,5,7.7,,,20,6.7,,,30
강릉(bgna3),"2018-03-14 21:30",8.5,,,5,7.7,,,20,6.5,,,30
강릉(bgna3),"2018-03-14 22:00",8.4,,,5,8.1,,,20,6.9,,,30
강릉(bgna3),"2018-03-14 22:30",8.4,,,5,7.9,,,20,6.6,,,30
강릉(bgna3),"2018-03-14 23:00",8.4,,,5,8.1,,,20,6.9,,,30
강릉(bgna3),"2018-03-14 23:30",8.5,,,5,8.3,,,20,7.5,,,30
강릉(bgna3),"2018-03-15 00:00",8.5,,,5,8.4,,,20,7.9,,,30
강릉(bgna3),"2018-03-15 00:30",8.5,,,5,8.4,,,20,7.9,,,30
강릉(bgna3),"2018-03-15 01:00",8.6,,,5,8.4,,,20,8.1,,,30
강릉(bgna3),"2018-03-15 01:30",8.6,,,5,8.4,,,20,8.2,,,30
강릉(bgna3),"2018-03-15 02:00",8.6,,,5,8.3,,,20,8.1,,,30
강릉(bgna3),"2018-03-15 02:30",8.7,,,5,8.3,,,20,7.6,,,30
