"°üÃø¼Ò","°üÃøÀÏ½Ã","Ç¥Ãþ¼ö¿Â(¡É)","Ç¥Ãþ ¿°ºÐ(psu)","Ç¥Ãþ DO(mg/L)","Ç¥Ãþ¼ö½É(m)","ÁßÃæ¼ö¿Â(¡É)","ÁßÃæ¿°ºÐ(psu)","ÁßÃæDO(mg/L)","ÁßÃþ¼ö½É(m)","ÀúÃþ¼ö¿Â(¡É)","ÀúÃþ ¿°ºÐ(psu)","ÀúÃþ DO(mg/L)","ÀúÃþ¼ö½É(m)"
°­¸ª(bgna3),"2017-12-01 02:00",15.2,,,5,15.2,,,20,,,,30
°­¸ª(bgna3),"2017-12-01 02:30",15.2,,,5,,,,20,,,,30
°­¸ª(bgna3),"2017-12-01 03:00",15.3,,,5,15.2,,,20,15.2,,,30
°­¸ª(bgna3),"2017-12-01 03:30",14.6,,,5,15.3,,,20,15.4,,,30
°­¸ª(bgna3),"2017-12-01 04:00",15.2,,,5,15.3,,,20,,,,30
°­¸ª(bgna3),"2017-12-01 04:30",15.2,,,5,15.2,,,20,15.2,,,30
°­¸ª(bgna3),"2017-12-01 05:00",15.2,,,5,15.2,,,20,15.2,,,30
°­¸ª(bgna3),"2017-12-01 05:30",15.2,,,5,15.2,,,20,14.9,,,30
°­¸ª(bgna3),"2017-12-01 06:00",15.1,,,5,15.1,,,20,,,,30
°­¸ª(bgna3),"2017-12-01 06:30",15.1,,,5,15.1,,,20,14.9,,,30
°­¸ª(bgna3),"2017-12-01 07:00",15.1,,,5,15.1,,,20,14.5,,,30
°­¸ª(bgna3),"2017-12-01 07:30",15,,,5,,,,20,,,,30
°­¸ª(bgna3),"2017-12-01 08:00",15,,,5,15.1,,,20,14.7,,,30
°­¸ª(bgna3),"2017-12-01 09:00",15,,,5,,,,20,,,,30
°­¸ª(bgna3),"2017-12-01 09:30",15,,,5,,,,20,,,,30
°­¸ª(bgna3),"2017-12-01 12:00",15,,,5,,,,20,,,,30
°­¸ª(bgna3),"2017-12-01 14:30",15.4,,,5,,,,20,,,,30
°­¸ª(bgna3),"2017-12-01 15:00",15,,,5,,,,20,,,,30
°­¸ª(bgna3),"2017-12-01 18:00",14.9,,,5,,,,20,,,,30
°­¸ª(bgna3),"2017-12-01 20:00",14.9,,,5,,,,20,,,,30
°­¸ª(bgna3),"2017-12-01 20:30",,,,5,14.9,,,20,,,,30
°­¸ª(bgna3),"2017-12-01 21:30",15.1,,,5,15.5,,,20,15.1,,,30
°­¸ª(bgna3),"2017-12-01 22:30",14.9,,,5,14.9,,,20,14.9,,,30
°­¸ª(bgna3),"2017-12-01 23:00",15,,,5,,,,20,,,,30
°­¸ª(bgna3),"2017-12-04 11:00",13.9,,,5,,,,20,,,,30
°­¸ª(bgna3),"2017-12-07 16:30",13.8,,,5,,,,20,,,,30
°­¸ª(bgna3),"2017-12-10 12:00",13.8,,,5,13.7,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-10 12:30",13.8,,,5,13.8,,,20,13.7,,,30
°­¸ª(bgna3),"2017-12-10 13:00",13.8,,,5,13.8,,,20,13.7,,,30
°­¸ª(bgna3),"2017-12-10 13:30",13.8,,,5,13.8,,,20,13.9,,,30
°­¸ª(bgna3),"2017-12-10 14:00",13.8,,,5,13.8,,,20,13.7,,,30
°­¸ª(bgna3),"2017-12-10 14:30",13.8,,,5,13.8,,,20,13.8,,,30
°­¸ª(bgna3),"2017-12-10 15:00",13.8,,,5,13.8,,,20,13.8,,,30
°­¸ª(bgna3),"2017-12-10 15:30",13.8,,,5,13.8,,,20,13.8,,,30
°­¸ª(bgna3),"2017-12-10 16:00",13.7,,,5,13.8,,,20,13.8,,,30
°­¸ª(bgna3),"2017-12-10 16:30",13.7,,,5,13.7,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-10 17:00",13.7,,,5,13.6,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-10 17:30",13.7,,,5,13.7,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-10 18:00",13.7,,,5,13.7,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-10 18:30",13.7,,,5,13.7,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-10 19:00",13.7,,,5,13.7,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-10 19:30",13.7,,,5,13.7,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-10 20:00",13.7,,,5,13.7,,,20,13.6,,,30
°­¸ª(bgna3),"2017-12-10 20:30",13.7,,,5,13.7,,,20,13.7,,,30
°­¸ª(bgna3),"2017-12-10 21:00",13.6,,,5,13.6,,,20,13.7,,,30
°­¸ª(bgna3),"2017-12-10 21:30",13.6,,,5,13.6,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-10 22:00",13.6,,,5,13.6,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-10 22:30",13.6,,,5,13.6,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-10 23:00",13.6,,,5,13.6,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-10 23:30",13.6,,,5,13.6,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-11 00:00",13.6,,,5,13.5,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-11 00:30",13.5,,,5,13.5,,,20,13.6,,,30
°­¸ª(bgna3),"2017-12-11 01:00",13.5,,,5,13.5,,,20,13.6,,,30
°­¸ª(bgna3),"2017-12-11 01:30",13.5,,,5,13.5,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-11 02:00",13.5,,,5,13.5,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-11 02:30",13.5,,,5,13.5,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-11 03:00",13.4,,,5,13.5,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-11 03:30",13.5,,,5,13.5,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-11 04:00",13.5,,,5,13.5,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-11 04:30",13.4,,,5,13.4,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-11 05:00",13.4,,,5,13.4,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-11 05:30",13.4,,,5,13.4,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-11 06:00",13.4,,,5,13.3,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-11 06:30",13.3,,,5,13.3,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-11 07:00",13.3,,,5,13.3,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-11 07:30",13.3,,,5,13.3,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-11 08:00",13.3,,,5,13.3,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-11 08:30",13.2,,,5,13.2,,,20,13.3,,,30
°­¸ª(bgna3),"2017-12-11 09:00",13.2,,,5,13.2,,,20,13.3,,,30
°­¸ª(bgna3),"2017-12-11 09:30",13.1,,,5,13.1,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-11 10:00",13.2,,,5,13.2,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-11 10:30",13.3,,,5,13.2,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-11 11:00",13.3,,,5,13.3,,,20,13.3,,,30
°­¸ª(bgna3),"2017-12-11 11:30",13.3,,,5,13.3,,,20,13.3,,,30
°­¸ª(bgna3),"2017-12-11 12:00",13.2,,,5,13.3,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-11 12:30",13.3,,,5,13.2,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-11 13:30",13.3,,,5,13.3,,,20,13,,,30
°­¸ª(bgna3),"2017-12-11 14:00",13.3,,,5,13.3,,,20,13,,,30
°­¸ª(bgna3),"2017-12-11 14:30",13.3,,,5,13.3,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-11 15:00",13.3,,,5,13.2,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-11 15:30",13.2,,,5,13.2,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-11 16:00",13.1,,,5,13.1,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-11 16:30",13.1,,,5,13.1,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-11 17:00",13.1,,,5,13.1,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-11 17:30",13.1,,,5,13.1,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-11 18:00",13.1,,,5,13.1,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-11 18:30",13.1,,,5,13.1,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-11 19:00",13.1,,,5,13.1,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-11 19:30",13.1,,,5,13,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-11 20:00",13.1,,,5,13.1,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-11 20:30",13.1,,,5,13,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-11 21:00",13,,,5,13,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-11 21:30",13.1,,,5,13.1,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-11 22:00",13,,,5,13,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-11 22:30",13.2,,,5,13.2,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-11 23:00",13.5,,,5,13.4,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-11 23:30",13.7,,,5,13.5,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-12 00:00",13.7,,,5,13.6,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-12 01:00",13.7,,,5,13.6,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-12 01:30",13.7,,,5,13.6,,,20,13.3,,,30
°­¸ª(bgna3),"2017-12-12 02:00",13.6,,,5,13.6,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-12 02:30",13.7,,,5,13.7,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-12 03:00",13.7,,,5,13.7,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-12 03:30",13.7,,,5,13.7,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-12 04:00",13.6,,,5,13.5,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-12 04:30",13.4,,,5,13.4,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-12 05:00",13.4,,,5,13.4,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-12 05:30",13.4,,,5,13.5,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-12 06:00",13.4,,,5,13.5,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-12 06:30",13.4,,,5,13.4,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-12 07:00",13.4,,,5,13.4,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-12 07:30",13.4,,,5,13.4,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-12 08:00",13.4,,,5,13.4,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-12 08:30",13.4,,,5,13.4,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-12 09:00",13.3,,,5,13.4,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-12 10:30",13.6,,,5,13.5,,,20,13.3,,,30
°­¸ª(bgna3),"2017-12-12 11:00",13.6,,,5,13.5,,,20,13.3,,,30
°­¸ª(bgna3),"2017-12-12 11:30",13.6,,,5,13.5,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-12 12:00",13.6,,,5,13.5,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-12 12:30",13.6,,,5,13.5,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-12 13:00",13.6,,,5,13.5,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-12 13:30",13.6,,,5,13.5,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-12 14:00",13.6,,,5,13.5,,,20,13.6,,,30
°­¸ª(bgna3),"2017-12-12 14:30",13.6,,,5,13.5,,,20,13.6,,,30
°­¸ª(bgna3),"2017-12-12 15:00",13.6,,,5,13.5,,,20,13.6,,,30
°­¸ª(bgna3),"2017-12-12 15:30",13.6,,,5,13.5,,,20,13.6,,,30
°­¸ª(bgna3),"2017-12-12 16:00",13.5,,,5,13.5,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-12 16:30",13.6,,,5,13.5,,,20,13.6,,,30
°­¸ª(bgna3),"2017-12-12 17:00",13.6,,,5,13.5,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-12 17:30",13.5,,,5,13.5,,,20,13.6,,,30
°­¸ª(bgna3),"2017-12-12 18:00",13.5,,,5,13.5,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-12 18:30",13.6,,,5,13.5,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-12 19:00",13.5,,,5,13.5,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-12 19:30",13.5,,,5,13.5,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-12 20:00",13.4,,,5,13.5,,,20,13.5,,,30
°­¸ª(bgna3),"2017-12-12 20:30",13.5,,,5,13.4,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-12 21:00",13.4,,,5,13.4,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-12 21:30",13.4,,,5,13.4,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-12 22:00",13.4,,,5,13.4,,,20,13.4,,,30
°­¸ª(bgna3),"2017-12-12 22:30",13.4,,,5,13.4,,,20,13.3,,,30
°­¸ª(bgna3),"2017-12-12 23:00",13.3,,,5,13.3,,,20,13.3,,,30
°­¸ª(bgna3),"2017-12-12 23:30",13.3,,,5,13.3,,,20,13.3,,,30
°­¸ª(bgna3),"2017-12-13 00:00",13.3,,,5,13.3,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-13 00:30",13.2,,,5,13.3,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-13 01:00",13.3,,,5,13.3,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-13 01:30",13.3,,,5,13.2,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-13 02:00",13.2,,,5,13.2,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-13 02:30",13.2,,,5,13.2,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-13 03:00",13.2,,,5,13.2,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-13 03:30",13.2,,,5,13.2,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-13 04:00",13.1,,,5,13.1,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-13 04:30",13.1,,,5,13.1,,,20,13,,,30
°­¸ª(bgna3),"2017-12-13 05:00",13.2,,,5,13.1,,,20,13,,,30
°­¸ª(bgna3),"2017-12-13 05:30",13.3,,,5,13.1,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-13 06:00",13.2,,,5,13.2,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-13 06:30",13.2,,,5,13.2,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-13 07:00",13.3,,,5,13.2,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-13 07:30",13.3,,,5,13.2,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-13 08:00",13.3,,,5,13.2,,,20,13.2,,,30
°­¸ª(bgna3),"2017-12-13 08:30",13.3,,,5,13.3,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-13 09:00",13.3,,,5,13.2,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-13 09:30",13.4,,,5,13.3,,,20,13.1,,,30
°­¸ª(bgna3),"2017-12-13 10:00",13.4,,,5,13.2,,,20,13,,,30
°­¸ª(bgna3),"2017-12-13 10:30",13.3,,,5,13.2,,,20,13,,,30
°­¸ª(bgna3),"2017-12-13 11:00",13.3,,,5,13.1,,,20,13,,,30
°­¸ª(bgna3),"2017-12-13 11:30",13.3,,,5,13.1,,,20,13,,,30
°­¸ª(bgna3),"2017-12-13 12:00",13.2,,,5,13,,,20,12.9,,,30
°­¸ª(bgna3),"2017-12-13 12:30",13.2,,,5,13.1,,,20,13,,,30
°­¸ª(bgna3),"2017-12-13 13:00",13.2,,,5,13.1,,,20,13,,,30
°­¸ª(bgna3),"2017-12-13 13:30",13.2,,,5,13,,,20,12.8,,,30
°­¸ª(bgna3),"2017-12-13 14:00",13.2,,,5,13.1,,,20,12.8,,,30
°­¸ª(bgna3),"2017-12-13 14:30",13.2,,,5,13.1,,,20,12.9,,,30
