"°üÃø¼Ò","°üÃøÀÏ½Ã","Ç¥Ãþ¼ö¿Â(¡É)","Ç¥Ãþ ¿°ºÐ(psu)","Ç¥Ãþ DO(mg/L)","Ç¥Ãþ¼ö½É(m)","ÁßÃæ¼ö¿Â(¡É)","ÁßÃæ¿°ºÐ(psu)","ÁßÃæDO(mg/L)","ÁßÃþ¼ö½É(m)","ÀúÃþ¼ö¿Â(¡É)","ÀúÃþ ¿°ºÐ(psu)","ÀúÃþ DO(mg/L)","ÀúÃþ¼ö½É(m)"
°­¸ª(bgna3),"2019-03-01 00:00",11.5,,,5,9.3,,,20,4.8,,,30
°­¸ª(bgna3),"2019-03-01 01:00",11.5,,,5,8.9,,,20,5.4,,,30
°­¸ª(bgna3),"2019-03-01 01:30",11.5,,,5,8.8,,,20,5.3,,,30
°­¸ª(bgna3),"2019-03-01 02:00",11.5,,,5,9.3,,,20,5.5,,,30
°­¸ª(bgna3),"2019-03-01 02:30",11.5,,,5,9.1,,,20,5,,,30
°­¸ª(bgna3),"2019-03-01 03:00",11.5,,,5,8.9,,,20,4.8,,,30
°­¸ª(bgna3),"2019-03-01 03:30",11.5,,,5,9.2,,,20,4.9,,,30
°­¸ª(bgna3),"2019-03-01 04:00",11.5,,,5,9.1,,,20,5.5,,,30
°­¸ª(bgna3),"2019-03-01 04:30",11.4,,,5,10.1,,,20,5.8,,,30
°­¸ª(bgna3),"2019-03-01 05:00",11.4,,,5,10,,,20,6.4,,,30
°­¸ª(bgna3),"2019-03-01 05:30",11.4,,,5,10.5,,,20,6.2,,,30
°­¸ª(bgna3),"2019-03-01 06:00",11.4,,,5,10.4,,,20,6.8,,,30
°­¸ª(bgna3),"2019-03-01 06:30",11.4,,,5,10,,,20,8.4,,,30
°­¸ª(bgna3),"2019-03-01 07:00",11.3,,,5,10.8,,,20,8.3,,,30
°­¸ª(bgna3),"2019-03-01 07:30",11.4,,,5,9.7,,,20,6.7,,,30
°­¸ª(bgna3),"2019-03-01 08:00",11.4,,,5,9.3,,,20,6.5,,,30
°­¸ª(bgna3),"2019-03-01 08:30",11.4,,,5,9.6,,,20,6.8,,,30
°­¸ª(bgna3),"2019-03-01 09:00",11.4,,,5,9.5,,,20,4.9,,,30
°­¸ª(bgna3),"2019-03-01 09:30",11.4,,,5,9.3,,,20,3.4,,,30
°­¸ª(bgna3),"2019-03-01 10:00",11.4,,,5,9.1,,,20,2.9,,,30
°­¸ª(bgna3),"2019-03-01 10:30",11.4,,,5,9.1,,,20,2.8,,,30
°­¸ª(bgna3),"2019-03-01 11:00",11.5,,,5,8.3,,,20,3,,,30
°­¸ª(bgna3),"2019-03-01 11:30",11.5,,,5,8.4,,,20,3.4,,,30
°­¸ª(bgna3),"2019-03-01 12:00",11.5,,,5,8.4,,,20,3.4,,,30
°­¸ª(bgna3),"2019-03-01 12:30",11.5,,,5,10,,,20,5.9,,,30
°­¸ª(bgna3),"2019-03-01 13:00",11.5,,,5,11.1,,,20,7.9,,,30
°­¸ª(bgna3),"2019-03-01 13:30",11.6,,,5,11.3,,,20,8.7,,,30
°­¸ª(bgna3),"2019-03-01 14:00",11.6,,,5,11.3,,,20,8.8,,,30
°­¸ª(bgna3),"2019-03-01 14:30",11.6,,,5,10.1,,,20,9.1,,,30
°­¸ª(bgna3),"2019-03-01 15:00",11.5,,,5,11.1,,,20,9.4,,,30
°­¸ª(bgna3),"2019-03-01 15:30",11.5,,,5,10.1,,,20,9.6,,,30
°­¸ª(bgna3),"2019-03-01 16:00",11.5,,,5,11.1,,,20,8.9,,,30
°­¸ª(bgna3),"2019-03-01 16:30",11.5,,,5,9.9,,,20,9,,,30
°­¸ª(bgna3),"2019-03-01 17:00",11.7,,,5,11.2,,,20,9.3,,,30
°­¸ª(bgna3),"2019-03-01 17:30",11.8,,,5,11.2,,,20,9.3,,,30
