"°üÃø¼Ò","°üÃøÀÏ½Ã","Ç¥Ãþ¼ö¿Â(¡É)","Ç¥Ãþ ¿°ºÐ(psu)","Ç¥Ãþ DO(mg/L)","Ç¥Ãþ¼ö½É(m)","ÁßÃæ¼ö¿Â(¡É)","ÁßÃæ¿°ºÐ(psu)","ÁßÃæDO(mg/L)","ÁßÃþ¼ö½É(m)","ÀúÃþ¼ö¿Â(¡É)","ÀúÃþ ¿°ºÐ(psu)","ÀúÃþ DO(mg/L)","ÀúÃþ¼ö½É(m)"
°­¸ª(bgna3),"2019-10-01 00:00",21.9,,,5,16.5,,,20,13.7,,,30
°­¸ª(bgna3),"2019-10-01 00:30",21.4,,,5,15.4,,,20,13.1,,,30
°­¸ª(bgna3),"2019-10-01 01:00",20.2,,,5,14.8,,,20,13.1,,,30
°­¸ª(bgna3),"2019-10-01 01:30",21,,,5,14.6,,,20,12.6,,,30
°­¸ª(bgna3),"2019-10-01 02:00",21.3,,,5,14.3,,,20,11.8,,,30
°­¸ª(bgna3),"2019-10-01 02:30",20.7,,,5,14,,,20,11.4,,,30
°­¸ª(bgna3),"2019-10-01 03:00",21.7,,,5,15.7,,,20,11.4,,,30
°­¸ª(bgna3),"2019-10-01 03:30",21.8,,,5,16.8,,,20,12.7,,,30
°­¸ª(bgna3),"2019-10-01 04:00",22.1,,,5,17.2,,,20,13.7,,,30
°­¸ª(bgna3),"2019-10-01 04:30",22.1,,,5,16.9,,,20,14.6,,,30
°­¸ª(bgna3),"2019-10-01 05:00",21.9,,,5,16.8,,,20,15.5,,,30
°­¸ª(bgna3),"2019-10-01 05:30",21.9,,,5,18.6,,,20,15.8,,,30
°­¸ª(bgna3),"2019-10-01 06:00",20.7,,,5,17.9,,,20,16.1,,,30
°­¸ª(bgna3),"2019-10-01 06:30",21.9,,,5,17.8,,,20,15.9,,,30
°­¸ª(bgna3),"2019-10-01 07:00",21.5,,,5,16.8,,,20,15,,,30
°­¸ª(bgna3),"2019-10-01 07:30",21.2,,,5,16.5,,,20,14.9,,,30
°­¸ª(bgna3),"2019-10-01 08:00",21.6,,,5,16.4,,,20,13.1,,,30
°­¸ª(bgna3),"2019-10-01 08:30",20.7,,,5,16.1,,,20,13.4,,,30
°­¸ª(bgna3),"2019-10-01 09:00",21.5,,,5,15.8,,,20,13.4,,,30
°­¸ª(bgna3),"2019-10-01 09:30",20.5,,,5,16.6,,,20,14.4,,,30
°­¸ª(bgna3),"2019-10-01 10:00",20.8,,,5,16.6,,,20,14.9,,,30
