year,month,행정구역별,생산량
2022,5,경상남도,
2022,6,강원도,25.0
2022,6,경상북도,20.0
2022,6,경상남도,
2022,7,강원도,1.0
2022,7,경상북도,16.0
2022,7,경상남도,
2022,8,강원도,23.0
2022,8,경상북도,
2022,8,경상남도,
2022,9,강원도,36.0
2022,9,경상북도,50.0
2022,9,경상남도,
2022,10,강원도,4.0
2022,10,경상북도,2.0
2022,10,경상남도,
2022,11,강원도,7.0
2022,11,경상북도,0.0
2022,11,경상남도,
2022,12,강원도,
2022,12,경상북도,0.0
2022,12,경상남도,
2023,1,강원도,0.0
2023,1,경상북도,6.0
2023,1,경상남도,
2023,2,강원도,1.0
2023,2,경상북도,8.0
2023,2,경상남도,
2023,3,강원도,0.0
2023,3,경상북도,4.0
2023,3,경상남도,
2023,4,강원도,0.0
2023,4,경상북도,1.0
2023,4,경상남도,
2023,5,강원도,1.0
2023,5,경상북도,22.0
2023,5,경상남도,
2023,6,강원도,12.0
2023,6,경상북도,51.0
2023,6,경상남도,
2023,7,강원도,30.0
2023,7,경상북도,34.0
2023,7,경상남도,2.0
2023,8,강원도,0.0
2023,8,경상북도,10.0
2023,8,경상남도,
2023,9,강원도,1.0
2023,9,경상북도,4.0
2023,9,경상남도,
2023,10,강원도,0.0
2023,10,경상북도,9.0
2023,10,경상남도,
2023,11,강원도,0.0
2023,11,경상북도,18.0
2023,11,경상남도,
2023,12,강원도,
2023,12,경상북도,5.0
2023,12,경상남도,
2024,1,강원도,
2024,1,경상북도,1.0
2024,1,경상남도,1.0
2024,2,강원도,
2024,2,경상북도,27.0
2024,2,경상남도,
2024,3,강원도,
2024,3,경상북도,0.0
2024,3,경상남도,1.0
2024,4,강원도,0.0
2024,4,경상북도,20.0
2024,4,경상남도,
2024,5,강원도,
2024,5,경상북도,21.0
2024,5,경상남도,
2024,6,강원도,77.0
2024,6,경상북도,36.0
2024,6,경상남도,
2024,7,강원도,32.0
2024,7,경상북도,2.0
2024,7,경상남도,
2024,8,강원도,4.0
2024,8,경상북도,9.0
2024,8,경상남도,0.0
2024,9,강원도,9.0
2024,9,경상북도,8.0
2024,9,경상남도,1.0
2024,10,강원도,6.0
2024,10,경상북도,5.0
2024,10,경상남도,0.0
2024,11,강원도,6.0
2024,11,경상북도,2.0
2024,11,경상남도,0.0
2024,12,강원도,3.0
2024,12,경상북도,36.0
2024,12,경상남도,0.0
2025,1,강원도,0.0
2025,1,경상북도,10.0
2025,1,경상남도,
2025,2,강원도,0.0
2025,2,경상북도,2.0
2025,2,경상남도,
