year,month,고등어,멸치,전갱이류,정어리
2025,1,2957.0,8452.0,468.0,352.0
2025,2,744.0,4146.0,523.0,121.0
2025,3,1736.0,4033.0,1732.0,367.0
2025,4,369.0,1395.0,301.0,1605.0
2025,5,1376.0,2003.0,843.0,678.0
2025,6,4636.0,1476.0,671.0,910.0
2025,7,6848.0,9115.0,1324.0,668.0
2025,8,3640.0,11640.0,933.0,484.0
2025,9,5477.0,10314.0,1388.0,461.0
2025,10,1939.0,7223.0,1065.0,81.0
2025,11,8270.0,4537.0,718.0,40.0
2025,12,6828.0,2484.0,263.0,972.0
