"°üÃø¼Ò","°üÃøÀÏ½Ã","Ç¥Ãþ¼ö¿Â(¡É)","Ç¥Ãþ ¿°ºÐ(psu)","Ç¥Ãþ DO(mg/L)","Ç¥Ãþ¼ö½É(m)","ÁßÃþ¼ö¿Â(¡É)","ÃþÃþ ¿°ºÐ(psu)","ÃþÃþ DO(mg/L)","ÃþÃþ¼ö½É(m)","ÀúÃþ¼ö¿Â(¡É)","ÀúÃþ ¿°ºÐ(psu)","ÀúÃþ DO(mg/L)","ÀúÃþ¼ö½É(m)"
°­¸ª(bgna3),"2021-12-01 00:00","15.1",,,,"14.5",,,,"7.2",,,
°­¸ª(bgna3),"2021-12-01 00:30","15.1",,,,"14.2",,,,"6.3",,,
°­¸ª(bgna3),"2021-12-01 01:00","15.1",,,,"13.5",,,,"5.9",,,
°­¸ª(bgna3),"2021-12-01 01:30","15.1",,,,"14.6",,,,"7.2",,,
°­¸ª(bgna3),"2021-12-01 02:00","15.1",,,,"13.8",,,,"6.7",,,
°­¸ª(bgna3),"2021-12-01 02:30","15.1",,,,"12.7",,,,"5.5",,,
°­¸ª(bgna3),"2021-12-01 03:00","15",,,,"12.4",,,,"4.8",,,
°­¸ª(bgna3),"2021-12-01 03:30","15",,,,"13",,,,"7.1",,,
°­¸ª(bgna3),"2021-12-01 04:00","14.9",,,,"13.4",,,,"6",,,
°­¸ª(bgna3),"2021-12-01 04:30","14.9",,,,"13.1",,,,"4.7",,,
°­¸ª(bgna3),"2021-12-01 05:00","14.9",,,,"14.1",,,,"6.7",,,
°­¸ª(bgna3),"2021-12-01 05:30","14.8",,,,"14.3",,,,"9.1",,,
°­¸ª(bgna3),"2021-12-01 06:00","14.8",,,,"14.5",,,,"10.7",,,
°­¸ª(bgna3),"2021-12-01 06:30","14.9",,,,"14.9",,,,"13.6",,,
°­¸ª(bgna3),"2021-12-01 07:00","15",,,,"15",,,,"14.4",,,
°­¸ª(bgna3),"2021-12-01 07:30","15.1",,,,"15.1",,,,"14.6",,,
°­¸ª(bgna3),"2021-12-01 08:00","15",,,,"15.1",,,,"14.8",,,
°­¸ª(bgna3),"2021-12-01 08:30","15",,,,"15.1",,,,"15",,,
°­¸ª(bgna3),"2021-12-01 09:00","15",,,,"15.1",,,,"15",,,
°­¸ª(bgna3),"2021-12-01 09:30","15",,,,"14.9",,,,"14.8",,,
°­¸ª(bgna3),"2021-12-01 10:00","14.9",,,,"15",,,,"14.4",,,
°­¸ª(bgna3),"2021-12-01 10:30","14.9",,,,"15",,,,"13.4",,,
°­¸ª(bgna3),"2021-12-01 11:00","14.9",,,,"15",,,,"13.2",,,
°­¸ª(bgna3),"2021-12-01 11:30","14.9",,,,"15",,,,"11.4",,,
°­¸ª(bgna3),"2021-12-01 12:00","14.9",,,,"15",,,,"12",,,
°­¸ª(bgna3),"2021-12-01 12:30","14.9",,,,"15",,,,"12.2",,,
°­¸ª(bgna3),"2021-12-01 13:00","14.9",,,,"15",,,,"13.1",,,
°­¸ª(bgna3),"2021-12-01 13:30","14.9",,,,"14.9",,,,"13.7",,,
°­¸ª(bgna3),"2021-12-01 14:00","14.8",,,,"14.9",,,,"14.4",,,
°­¸ª(bgna3),"2021-12-01 15:00","14.8",,,,"14.9",,,,"13.7",,,
°­¸ª(bgna3),"2021-12-01 15:30","14.8",,,,"14.8",,,,"14.3",,,
°­¸ª(bgna3),"2021-12-01 16:00","14.8",,,,"14.8",,,,"14.5",,,
°­¸ª(bgna3),"2021-12-01 17:00","14.7",,,,"14.8",,,,"14",,,
°­¸ª(bgna3),"2021-12-01 17:30","14.8",,,,"14.8",,,,"13.8",,,
°­¸ª(bgna3),"2021-12-01 18:00","14.7",,,,"14.7",,,,"12.9",,,
°­¸ª(bgna3),"2021-12-01 19:00","14.8",,,,"14.7",,,,"13.4",,,
°­¸ª(bgna3),"2021-12-01 19:30","14.7",,,,"14.2",,,,"13.7",,,
°­¸ª(bgna3),"2021-12-01 20:00","14.7",,,,"14.7",,,,"13.8",,,
°­¸ª(bgna3),"2021-12-01 21:00","15.4",,,,"14.8",,,,"11",,,
°­¸ª(bgna3),"2021-12-01 21:30","15.3",,,,"14.6",,,,"8.7",,,
°­¸ª(bgna3),"2021-12-01 22:00","15.3",,,,"14.8",,,,"10.8",,,
°­¸ª(bgna3),"2021-12-01 22:30","15.3",,,,"15",,,,"14.1",,,
°­¸ª(bgna3),"2021-12-01 23:00","15.2",,,,"14.9",,,,"14",,,
°­¸ª(bgna3),"2021-12-02 00:00","15.2",,,,"14.9",,,,"14.1",,,
°­¸ª(bgna3),"2021-12-02 00:30","15.1",,,,"14.8",,,,"14.6",,,
°­¸ª(bgna3),"2021-12-02 01:00","15",,,,"14.6",,,,"14.4",,,
°­¸ª(bgna3),"2021-12-02 02:30","14.8",,,,"14.6",,,,"14.6",,,
°­¸ª(bgna3),"2021-12-02 03:00","14.8",,,,"14.6",,,,"14.6",,,
°­¸ª(bgna3),"2021-12-02 03:30","14.8",,,,"14.4",,,,"14.5",,,
°­¸ª(bgna3),"2021-12-02 04:00","14.7",,,,"14.4",,,,"13.7",,,
°­¸ª(bgna3),"2021-12-02 04:30","14.8",,,,"14.4",,,,"13.2",,,
°­¸ª(bgna3),"2021-12-02 05:00","14.8",,,,"14.4",,,,"14",,,
°­¸ª(bgna3),"2021-12-02 05:30","14.7",,,,"14.4",,,,"13.6",,,
°­¸ª(bgna3),"2021-12-02 06:00","14.7",,,,"14.3",,,,"13.2",,,
°­¸ª(bgna3),"2021-12-02 06:30","14.7",,,,"14.2",,,,"13.9",,,
